player_id,item_id,item_name,num_elements,item_elements,item_damage_type,item_enhancement,item_blessing_tier,item_material_tier,item_num_stars,item_prefix_values,item_suffix_values,item_bonus_stat,item_base_dmg_min,item_base_dmg_max,item_num_sockets,item_inlaid_gem_id
10001,W1,+0 Enchanted Steel Dagger,1,<:ewind:1141653474480767016>,<:emelee:1141654530619088906>,0,Enchanted,Steel,1,,,1.1,1,25,0,
10001,A2,+0 Enchanted Steel Armour,0,,,0,Enchanted,Steel,1,,,25,1,25,0,
10001,Y3,+0 Sparkling Inert Amulet,0,,,0,Sparkling,Inert,1,,,0,1,25,0,
10001,W4,+0 Faint Essence Golem,1,<:ewater:1141653475059572779>,<:esummon:1143754335478616114>,0,Faint,Essence,1,,,1.1,1,25,0,
10001,A5,+0 Enchanted Steel Armour,0,,,0,Enchanted,Steel,1,,,25,1,25,0,
10001,Y6,+0 Sparkling Inert Ring,0,,,0,Sparkling,Inert,1,,,0,1,25,0,
10001,W7,+0 Faint Essence Golem,1,<:elight:1141653466343800883>,<:esummon:1143754335478616114>,0,Faint,Essence,1,,,1.1,1,25,0,
10001,A7,+0 Enchanted Steel Armour,0,,,0,Enchanted,Steel,1,,,25,1,25,0,
10001,Y7,+0 Sparkling Inert Ring,0,,,0,Sparkling,Inert,1,,,0,1,25,0,
10001,Y10,+0 Sparkling Inert Ring,0,,,0,Sparkling,Inert,1,,,0,10,35,0,
